date,entity_id,primary_metric,secondary_metric,revenue_or_value,quality_score,risk_score
2026-01-01,EXP001,61.7,59.7,85898,89.0,56.5
2026-01-01,EXP002,48.7,51.2,74188,80.3,9.6
2026-01-01,EXP003,47.2,78.0,64861,89.8,65.9
2026-01-01,EXP004,69.1,41.9,25699,63.0,92.2
2026-01-01,EXP005,43.5,48.4,68143,78.8,8.6
2026-01-01,EXP006,92.8,43.6,173131,96.1,42.5
2026-01-01,EXP007,41.3,79.6,160945,70.8,12.6
2026-01-01,EXP008,80.7,64.9,53139,86.1,10.6
2026-01-01,EXP009,71.3,34.5,105309,63.0,40.8
2026-01-01,EXP010,62.3,39.0,173954,82.1,41.4
2026-01-01,EXP011,59.6,22.5,20542,90.2,41.1
2026-01-01,EXP012,63.8,41.2,103745,84.0,32.2
2026-01-01,EXP013,49.1,70.4,15350,93.4,54.6
2026-01-01,EXP014,74.5,68.3,90634,67.2,28.2
2026-01-01,EXP015,89.3,36.9,119630,97.0,76.5
2026-01-01,EXP016,63.2,71.9,29666,67.3,52.6
2026-01-01,EXP017,75.8,72.3,60616,65.1,66.1
2026-01-01,EXP018,78.7,64.4,67429,84.0,76.1
2026-01-01,EXP019,56.8,41.0,120989,88.3,61.6
2026-01-01,EXP020,72.2,53.7,37384,70.9,80.3
2026-01-01,EXP021,43.7,21.4,143728,81.7,39.7
2026-01-01,EXP022,67.0,78.1,6182,72.1,76.8
2026-01-01,EXP023,40.5,80.3,87999,75.0,90.4
2026-01-01,EXP024,87.2,64.6,60720,81.2,34.8
2026-01-01,EXP025,45.6,53.8,60411,73.8,93.1
2026-01-01,EXP026,48.0,34.7,152493,93.5,74.2
2026-01-01,EXP027,56.3,77.1,115468,72.8,61.0
2026-01-01,EXP028,90.6,37.0,2037,98.8,72.1
2026-01-01,EXP029,75.2,29.5,130018,78.2,61.2
2026-01-01,EXP030,45.0,47.1,88748,65.1,40.5
2026-01-01,EXP031,65.0,76.8,58040,86.8,35.6
2026-01-01,EXP032,58.5,78.7,43301,81.1,65.5
2026-01-02,EXP001,42.1,44.8,8977,77.3,89.6
2026-01-02,EXP002,54.3,77.9,33724,69.1,50.0
2026-01-02,EXP003,80.0,45.5,40882,67.1,24.4
2026-01-02,EXP004,51.1,28.8,98754,72.0,68.3
2026-01-02,EXP005,68.2,23.4,117291,83.9,84.0
2026-01-02,EXP006,85.7,58.5,78166,92.8,25.6
2026-01-02,EXP007,44.1,26.6,55834,81.0,82.8
2026-01-02,EXP008,64.3,74.2,122251,97.1,83.1
2026-01-02,EXP009,42.8,66.8,105924,92.1,75.1
2026-01-02,EXP010,81.8,34.2,130251,93.4,59.3
2026-01-02,EXP011,52.6,52.8,107087,69.2,82.6
2026-01-02,EXP012,64.5,52.9,81225,76.1,65.3
2026-01-02,EXP013,56.9,39.9,94202,81.4,53.0
2026-01-02,EXP014,88.0,46.2,97340,71.4,92.4
2026-01-02,EXP015,59.9,30.7,162189,78.4,88.0
2026-01-02,EXP016,79.0,44.8,11327,89.4,73.4
2026-01-02,EXP017,48.8,42.3,57660,81.7,86.3
2026-01-02,EXP018,51.5,35.5,46926,67.8,85.8
2026-01-02,EXP019,68.5,80.5,73445,97.3,54.5
2026-01-02,EXP020,65.8,30.2,89509,84.5,75.6
2026-01-02,EXP021,84.8,23.5,64471,98.6,10.8
2026-01-02,EXP022,41.3,65.9,132985,83.5,26.3
2026-01-02,EXP023,75.0,29.2,24502,74.6,81.9
2026-01-02,EXP024,79.8,70.9,13793,81.6,56.8
2026-01-02,EXP025,84.8,37.7,118281,72.9,60.2
2026-01-02,EXP026,70.2,66.6,117231,75.6,82.3
2026-01-02,EXP027,73.9,57.9,21796,78.4,67.6
2026-01-02,EXP028,92.2,64.9,138893,93.0,63.6
2026-01-02,EXP029,52.0,47.9,140588,62.1,48.7
2026-01-02,EXP030,59.7,44.4,90090,85.5,37.8
2026-01-02,EXP031,92.8,55.2,111442,82.9,34.8
2026-01-02,EXP032,67.8,64.3,105341,93.2,15.5
2026-01-03,EXP001,90.6,61.0,149488,97.3,67.7
2026-01-03,EXP002,53.4,56.6,55895,80.3,83.1
2026-01-03,EXP003,84.2,79.8,101053,64.7,25.1
2026-01-03,EXP004,74.8,52.6,95872,89.8,80.0
2026-01-03,EXP005,70.3,31.0,42135,68.5,91.5
2026-01-03,EXP006,69.8,59.1,73704,97.6,70.4
2026-01-03,EXP007,68.1,74.3,34062,97.4,13.0
2026-01-03,EXP008,51.1,77.0,23733,91.9,20.6
2026-01-03,EXP009,95.0,33.9,163525,72.0,36.4
2026-01-03,EXP010,66.2,67.4,90454,72.1,41.1
2026-01-03,EXP011,41.0,23.0,109429,72.3,65.3
2026-01-03,EXP012,40.4,36.8,141258,84.0,79.4
2026-01-03,EXP013,93.9,57.0,77150,76.4,31.3
2026-01-03,EXP014,47.8,32.1,32053,64.4,38.9
2026-01-03,EXP015,74.8,29.4,168531,85.1,40.0
2026-01-03,EXP016,44.2,53.7,18776,79.1,40.6
2026-01-03,EXP017,58.8,62.1,97552,97.3,80.5
2026-01-03,EXP018,93.0,21.3,68519,66.8,79.3
